# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-04-22 18:06:03 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15290000 L SUSITNA R NR PALMER AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15290000
#            TS   parameter     statistic     Description
#           783       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=15290000&ts_ids=783]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	783_00060_00003	783_00060_00003_cd
USGS	15290000	1948-07-01	700	A
USGS	15290000	1948-07-02	915	A
USGS	15290000	1948-07-03	800	A
USGS	15290000	1948-07-04	660	A
USGS	15290000	1948-07-05	640	A
USGS	15290000	1948-07-06	1000	A
USGS	15290000	1948-07-07	800	A
USGS	15290000	1948-07-08	727	A
USGS	15290000	1948-07-09	690	A
USGS	15290000	1948-07-10	663	A
USGS	15290000	1948-07-11	550	A
USGS	15290000	1948-07-12	489	A
USGS	15290000	1948-07-13	462	A
USGS	15290000	1948-07-14	489	A
USGS	15290000	1948-07-15	490	A
USGS	15290000	1948-07-16	489	A
USGS	15290000	1948-07-17	462	A
USGS	15290000	1948-07-18	489	A
USGS	15290000	1948-07-19	544	A
USGS	15290000	1948-07-20	435	A
USGS	15290000	1948-07-21	364	A
USGS	15290000	1948-07-22	364	A
USGS	15290000	1948-07-23	386	A
USGS	15290000	1948-07-24	342	A
USGS	15290000	1948-07-25	320	A
USGS	15290000	1948-07-26	694	A
USGS	15290000	1948-07-27	727	A
USGS	15290000	1948-07-28	489	A
USGS	15290000	1948-07-29	410	A
USGS	15290000	1948-07-30	364	A
USGS	15290000	1948-07-31	342	A
USGS	15290000	1948-08-01	340	A
USGS	15290000	1948-08-02	342	A
USGS	15290000	1948-08-03	342	A
USGS	15290000	1948-08-04	323	A
USGS	15290000	1948-08-05	342	A
USGS	15290000	1948-08-06	342	A
USGS	15290000	1948-08-07	330	A
USGS	15290000	1948-08-08	320	A
USGS	15290000	1948-08-09	304	A
USGS	15290000	1948-08-10	271	A
USGS	15290000	1948-08-11	260	A
USGS	15290000	1948-08-12	250	A
USGS	15290000	1948-08-13	500	A
USGS	15290000	1948-08-14	1100	A
USGS	15290000	1948-08-15	1600	A
USGS	15290000	1948-08-16	2200	A
USGS	15290000	1948-08-17	1550	A
USGS	15290000	1948-08-18	1050	A
USGS	15290000	1948-08-19	775	A
USGS	15290000	1948-08-20	615	A
USGS	15290000	1948-08-21	591	A
USGS	15290000	1948-08-22	1680	A
USGS	15290000	1948-08-23	1290	A
USGS	15290000	1948-08-24	850	A
USGS	15290000	1948-08-25	651	A
USGS	15290000	1948-08-26	528	A
USGS	15290000	1948-08-27	435	A
USGS	15290000	1948-08-28	372	A
USGS	15290000	1948-08-29	338	A
USGS	15290000	1948-08-30	319	A
USGS	15290000	1948-08-31	287	A
USGS	15290000	1948-09-01	262	A
USGS	15290000	1948-09-02	244	A
USGS	15290000	1948-09-03	230	A
USGS	15290000	1948-09-04	214	A
USGS	15290000	1948-09-05	201	A
USGS	15290000	1948-09-06	196	A
USGS	15290000	1948-09-07	211	A
USGS	15290000	1948-09-08	196	A
USGS	15290000	1948-09-09	256	A
USGS	15290000	1948-09-10	262	A
USGS	15290000	1948-09-11	241	A
USGS	15290000	1948-09-12	216	A
USGS	15290000	1948-09-13	203	A
USGS	15290000	1948-09-14	193	A
USGS	15290000	1948-09-15	183	A
USGS	15290000	1948-09-16	471	A
USGS	15290000	1948-09-17	688	A
USGS	15290000	1948-09-18	522	A
USGS	15290000	1948-09-19	450	A
USGS	15290000	1948-09-20	390	A
USGS	15290000	1948-09-21	327	A
USGS	15290000	1948-09-22	291	A
USGS	15290000	1948-09-23	271	A
USGS	15290000	1948-09-24	274	A
USGS	15290000	1948-09-25	262	A
USGS	15290000	1948-09-26	241	A
USGS	15290000	1948-09-27	225	A
USGS	15290000	1948-09-28	230	A
USGS	15290000	1948-09-29	225	A
USGS	15290000	1948-09-30	225	A
USGS	15290000	1948-10-01	219	A
USGS	15290000	1948-10-02	206	A
USGS	15290000	1948-10-03	196	A
USGS	15290000	1948-10-04	183	A
USGS	15290000	1948-10-05	176	A
