﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,Date,Value,SYM
03NE011,1,2003/07/15,9.90,A
03NE011,1,2003/07/16,8.81,
03NE011,1,2003/07/17,7.58,
03NE011,1,2003/07/18,7.01,
03NE011,1,2003/07/19,6.16,
03NE011,1,2003/07/20,6.09,
03NE011,1,2003/07/21,6.10,
03NE011,1,2003/07/22,5.93,
03NE011,1,2003/07/23,5.69,
03NE011,1,2003/07/24,5.29,
03NE011,1,2003/07/25,4.86,
03NE011,1,2003/07/26,4.41,
03NE011,1,2003/07/27,4.04,
03NE011,1,2003/07/28,3.63,
03NE011,1,2003/07/29,3.34,
03NE011,1,2003/07/30,3.11,
03NE011,1,2003/07/31,2.83,
03NE011,1,2003/08/01,2.75,
03NE011,1,2003/08/02,2.59,
03NE011,1,2003/08/03,2.35,
03NE011,1,2003/08/04,2.22,
03NE011,1,2003/08/05,2.05,A
03NE011,1,2003/08/06,1.97,E
03NE011,1,2003/08/07,1.91,E
03NE011,1,2003/08/08,1.85,E
03NE011,1,2003/08/09,1.78,E
03NE011,1,2003/08/10,1.72,E
03NE011,1,2003/08/11,1.66,E
03NE011,1,2003/08/12,1.60,E
03NE011,1,2003/08/13,1.57,A
03NE011,1,2003/08/14,1.52,
03NE011,1,2003/08/15,1.48,
03NE011,1,2003/08/16,1.53,
03NE011,1,2003/08/17,1.43,
03NE011,1,2003/08/18,1.40,
03NE011,1,2003/08/19,1.39,
03NE011,1,2003/08/20,1.35,
03NE011,1,2003/08/21,1.30,
03NE011,1,2003/08/22,1.29,
03NE011,1,2003/08/23,1.37,
03NE011,1,2003/08/24,1.33,
03NE011,1,2003/08/25,1.30,
03NE011,1,2003/08/26,1.31,
03NE011,1,2003/08/27,1.83,
03NE011,1,2003/08/28,1.56,
03NE011,1,2003/08/29,1.61,
03NE011,1,2003/08/30,1.61,
03NE011,1,2003/08/31,1.89,
03NE011,1,2003/09/01,1.81,
03NE011,1,2003/09/02,1.81,
03NE011,1,2003/09/03,1.73,
03NE011,1,2003/09/04,1.66,
03NE011,1,2003/09/05,1.63,
03NE011,1,2003/09/06,1.61,
03NE011,1,2003/09/07,1.60,
03NE011,1,2003/09/08,1.56,
03NE011,1,2003/09/09,1.54,
03NE011,1,2003/09/10,1.52,
03NE011,1,2003/09/11,1.48,
03NE011,1,2003/09/12,1.48,
03NE011,1,2003/09/13,1.47,
03NE011,1,2003/09/14,1.44,
03NE011,1,2003/09/15,1.46,
03NE011,1,2003/09/16,1.48,
03NE011,1,2003/09/17,1.70,
03NE011,1,2003/09/18,1.81,
03NE011,1,2003/09/19,1.63,
03NE011,1,2003/09/20,1.57,
03NE011,1,2003/09/21,1.57,
03NE011,1,2003/09/22,1.52,A
03NE011,1,2003/09/23,1.49,A
03NE011,1,2003/09/24,1.55,
03NE011,1,2003/09/25,1.63,
03NE011,1,2003/09/26,1.57,
03NE011,1,2003/09/27,1.51,
03NE011,1,2003/09/28,1.50,
03NE011,1,2003/09/29,1.52,
03NE011,1,2003/09/30,1.64,
03NE011,1,2003/10/01,1.92,
03NE011,1,2003/10/02,1.92,
03NE011,1,2003/10/03,1.93,
03NE011,1,2003/10/04,3.37,
03NE011,1,2003/10/05,3.04,
03NE011,1,2003/10/06,4.08,
03NE011,1,2003/10/07,3.98,
03NE011,1,2003/10/08,3.78,
03NE011,1,2003/10/09,3.66,
03NE011,1,2003/10/10,3.39,
03NE011,1,2003/10/11,3.23,
03NE011,1,2003/10/12,3.14,
03NE011,1,2003/10/13,2.91,
03NE011,1,2003/10/14,2.78,
03NE011,1,2003/10/15,2.55,
03NE011,1,2003/10/16,2.48,
03NE011,1,2003/10/17,2.68,
03NE011,1,2003/10/18,2.42,
03NE011,1,2003/10/19,2.29,
03NE011,1,2003/10/20,2.55,
03NE011,1,2003/10/21,2.70,
03NE011,1,2003/10/22,2.41,
03NE011,1,2003/10/23,2.23,
03NE011,1,2003/10/24,3.25,
03NE011,1,2003/10/25,3.22,
03NE011,1,2003/10/26,2.83,
03NE011,1,2003/10/27,2.60,
03NE011,1,2003/10/28,2.19,
03NE011,1,2003/10/29,2.00,B
03NE011,1,2003/10/30,1.94,B
03NE011,1,2003/10/31,1.87,B
03NE011,1,2003/11/01,1.81,B
03NE011,1,2003/11/02,1.74,B
03NE011,1,2003/11/03,1.68,B
03NE011,1,2003/11/04,1.61,B
03NE011,1,2003/11/05,1.55,B
03NE011,1,2003/11/06,1.48,B
03NE011,1,2003/11/07,1.42,B
03NE011,1,2003/11/08,1.35,B
03NE011,1,2003/11/09,1.29,B
03NE011,1,2003/11/10,1.22,B
03NE011,1,2003/11/11,1.16,B
03NE011,1,2003/11/12,1.09,B
03NE011,1,2003/11/13,1.03,B
03NE011,1,2003/11/14,1.35,B
03NE011,1,2003/11/15,1.67,B
03NE011,1,2003/11/16,2.00,B
03NE011,1,2003/11/17,1.93,B
03NE011,1,2003/11/18,1.86,B
03NE011,1,2003/11/19,1.79,B
03NE011,1,2003/11/20,1.73,B
03NE011,1,2003/11/21,1.66,B
03NE011,1,2003/11/22,1.59,B
03NE011,1,2003/11/23,1.52,B
03NE011,1,2003/11/24,1.45,B
03NE011,1,2003/11/25,1.38,B
03NE011,1,2003/11/26,1.31,B
03NE011,1,2003/11/27,1.25,B
03NE011,1,2003/11/28,1.18,B
03NE011,1,2003/11/29,1.11,B
03NE011,1,2003/11/30,1.04,B
03NE011,1,2003/12/01,1.01,B
03NE011,1,2003/12/02,0.975,B
03NE011,1,2003/12/03,0.945,B
03NE011,1,2003/12/04,0.925,B
03NE011,1,2003/12/05,0.890,B
03NE011,1,2003/12/06,0.860,B
03NE011,1,2003/12/07,0.845,B
03NE011,1,2003/12/08,0.825,B
03NE011,1,2003/12/09,0.805,B
03NE011,1,2003/12/10,0.780,B
03NE011,1,2003/12/11,0.760,B
03NE011,1,2003/12/12,0.748,B
03NE011,1,2003/12/13,0.735,B
03NE011,1,2003/12/14,0.723,B
03NE011,1,2003/12/15,0.711,B
03NE011,1,2003/12/16,0.698,B
03NE011,1,2003/12/17,0.686,B
03NE011,1,2003/12/18,0.674,B
03NE011,1,2003/12/19,0.662,B
03NE011,1,2003/12/20,0.649,B
03NE011,1,2003/12/21,0.637,B
03NE011,1,2003/12/22,0.625,B
03NE011,1,2003/12/23,0.612,B
03NE011,1,2003/12/24,0.600,B
03NE011,1,2003/12/25,0.590,B
03NE011,1,2003/12/26,0.580,B
03NE011,1,2003/12/27,0.570,B
03NE011,1,2003/12/28,0.560,B
03NE011,1,2003/12/29,0.553,B
03NE011,1,2003/12/30,0.545,B
03NE011,1,2003/12/31,0.538,B
03NE011,1,2004/01/01,0.535,B
03NE011,1,2004/01/02,0.531,B
03NE011,1,2004/01/03,0.527,B
03NE011,1,2004/01/04,0.524,B
03NE011,1,2004/01/05,0.520,B
03NE011,1,2004/01/06,0.517,B
03NE011,1,2004/01/07,0.513,B
03NE011,1,2004/01/08,0.510,B
03NE011,1,2004/01/09,0.506,B
03NE011,1,2004/01/10,0.503,B
03NE011,1,2004/01/11,0.499,B
03NE011,1,2004/01/12,0.496,B
03NE011,1,2004/01/13,0.493,B
03NE011,1,2004/01/14,0.489,B
03NE011,1,2004/01/15,0.486,B
03NE011,1,2004/01/16,0.482,B
03NE011,1,2004/01/17,0.479,B
03NE011,1,2004/01/18,0.475,B
03NE011,1,2004/01/19,0.472,B
03NE011,1,2004/01/20,0.468,B
03NE011,1,2004/01/21,0.465,B
03NE011,1,2004/01/22,0.461,B
03NE011,1,2004/01/23,0.458,B
