name,name.s
ADSETT CREEK AT KILOMETRE 386.0 ALASKA HIGHWAY,Adsett
ALCES RIVER AT 22ND BASE LINE,Alces
ALSEK RIVER ABOVE BATES RIVER,Alsek
ANGLING RIVER NEAR BIRD,Angling
ANSEDAGAN CREEK NEAR NEW AIYANSH,Ansedagan
ANTLER,Antler
ARCTIC RED RIVER NEAR THE MOUTH,Arctic Red
ATHABASCA RIVER BELOW FORT MCMURRAY,Athabasca
ATLIN RIVER NEAR ATLIN,Atlin
BACK RIVER BELOW BEECHY LAKE,Back River
BAKER CREEK AT OUTLET OF LOWER MARTIN LAKE,Baker
BEAVER RIVER BELOW MATSON CREEK,Beaver
BIG CREEK AT KM 1084.8 ALASKA HIGHWAY,Big Creek 2
BIG CREEK NEAR THE MOUTH,Big Creek 1
BIRCH RIVER AT HIGHWAY NO. 7,Birch
BLACKSTONE RIVER AT HIGHWAY NO. 7,Blackstone 2
BLACKSTONE RIVER NEAR CHAPMAN LAKE AIRSTRIP,Blackstone 1
BRADLEY_2,Bradley 
BROWN RIVER AT THE OUTLET OF BROWN LAKE,Brown
BURNTWOOD RIVER ABOVE LEAF RAPIDS,Burntwood
CAMERON RIVER BELOW REID LAKE,Cameron
CAMP POND BROOK BELOW CAMP POND,Camp Pond
CAMSELL RIVER AT OUTLET OF CLUT LAKE,Camsell
CANOE RIVER NEAR BEAUVAL,Canoe
CARBON CREEK NEAR THE MOUTH,Carbon
CARIBOU CREEK ABOVE HIGHWAY NO. 8 (DEMPSTER HIGHWAY),Caribou
CHENA_1,Chena
CHINCHAGA RIVER NEAR HIGH LEVEL,Chinchaga
CHURCHILL RIVER ABOVE OTTER RAPIDS,Churchill
CLEARWATER RIVER AT DRAPER,Clearwater
COLVILLE,Colville
COOPER,Cooper
COPPERMINE RIVER AT OUTLET OF POINT LAKE,Coppermine
COTTONWOOD RIVER ABOVE BASS CREEK,Cottonwood
DEZADEASH RIVER AT HAINES JUNCTION,Dezadeash
DICKEBUSCH CREEK NEAR THE MOUTH,Dickebusch
DILLON RIVER BELOW DILLON LAKE,Dillon
DOUGLAS RIVER NEAR CLUFF LAKE,Douglas
DRIFTWOOD RIVER ABOVE KASTBERG CREEK,Driftwood 1
DRIFTWOOD RIVER NEAR THE MOUTH,Driftwood 2
DUKE RIVER NEAR THE MOUTH,Duke
FINLAY RIVER ABOVE AKIE RIVER,Finlay
FISH_SE,Fish
FOND DU LAC RIVER AT OUTLET OF BLACK LAKE,Fond du Lac
FRANCES RIVER NEAR WATSON LAKE,Frances
GEIKIE RIVER BELOW WHEELER RIVER,Geikie
GILTANA CREEK NEAR THE MOUTH,Giltana
GOODPASTER,Goodpaster
GRAHAM RIVER ABOVE COLT CREEK,Graham
GRASS RIVER ABOVE STANDING STONE FALLS,Grass
GREENS,Greens
GROUSE,Grouse
HALFWAY RIVER NEAR FARRELL CREEK,Halfway
HAULTAIN RIVER ABOVE NORBERT RIVER,Haultain
HAY RIVER NEAR HAY RIVER,Hay
HEART RIVER NEAR NAMPA,Heart
IBEX RIVER NEAR WHITEHORSE,Ibex
ILIAMNA,Iliamna
INDIAN RIVER ABOVE THE MOUTH,Indian
INGENIKA RIVER ABOVE SWANNELL RIVER,Ingenika
ISKUT RIVER BELOW JOHNSON RIVER,Iskut
