OBJECTID,StationNum,NameNom,EXTENT,Shape_Area,AREA,PERCENTAGE
1,03NE002,CAMP POND BROOK BELOW CAMP POND,Isol,24296400,24.2964,100
2,03NE011,REID BROOK BELOW TRIBUTARY,Isol,89406009.07,89.40600907,56.7803207
3,03NE011,REID BROOK BELOW TRIBUTARY,Spora,68053490.93,68.05349093,43.2196793
4,03NE012,TRIBUTARY TO REID BROOK,Isol,15428700,15.4287,100
5,03NF001,UGJOKTOK RIVER BELOW HARP LAKE,Isol,2774437936,2774.437936,36.76299151
6,03NF001,UGJOKTOK RIVER BELOW HARP LAKE,Spora,4772385164,4772.385164,63.23700849
7,04DC001,WINISK RIVER BELOW ASHEWEIG RIVER TRIBUTARY,Isol,22698547993,22698.54799,45.32812462
8,04DC001,WINISK RIVER BELOW ASHEWEIG RIVER TRIBUTARY,Spora,20087123811,20087.12381,40.11321128
9,04DC002,SHAMATTAWA RIVER AT OUTLET OF SHAMATTAWA LAKE,Isol,567329949,567.329949,12.05801256
10,04DC002,SHAMATTAWA RIVER AT OUTLET OF SHAMATTAWA LAKE,Spora,4137673851,4137.673851,87.94198744
11,05TD001,GRASS RIVER ABOVE STANDING STONE FALLS,Discon,200892210.7,200.8922107,1.30441766
12,05TD001,GRASS RIVER ABOVE STANDING STONE FALLS,Isol,9771040973,9771.040973,63.44456242
13,05TD001,GRASS RIVER ABOVE STANDING STONE FALLS,Spora,2755759632,2755.759632,17.89348386
14,05TE002,BURNTWOOD RIVER ABOVE LEAF RAPIDS,Discon,11308393.92,11.30839392,0.194056519
15,05TE002,BURNTWOOD RIVER ABOVE LEAF RAPIDS,Isol,3952520550,3952.52055,67.82681842
16,05TE002,BURNTWOOD RIVER ABOVE LEAF RAPIDS,Spora,1211802042,1211.802042,20.79500308
17,05TG003,ODEI RIVER NEAR THOMPSON,Discon,2017147528,2017.147528,33.09573137
18,05TG003,ODEI RIVER NEAR THOMPSON,Isol,1274721016,1274.721016,20.91459536
19,05TG003,ODEI RIVER NEAR THOMPSON,Spora,2803018756,2803.018756,45.98967327
20,05TG006,SAPOCHI RIVER NEAR NELSON HOUSE,Discon,143384777.6,143.3847776,33.66233367
21,05TG006,SAPOCHI RIVER NEAR NELSON HOUSE,Isol,149824891.8,149.8248918,35.17427432
22,05TG006,SAPOCHI RIVER NEAR NELSON HOUSE,Spora,132740530.6,132.7405306,31.16339202
23,05UF004,KETTLE RIVER NEAR GILLAM,Discon,1381909464,1381.909464,70.41935067
24,05UF004,KETTLE RIVER NEAR GILLAM,Spora,580490715.9,580.4907159,29.58064933
25,05UH001,ANGLING RIVER NEAR BIRD,Cont,43947717.35,43.94771735,2.843350817
26,05UH001,ANGLING RIVER NEAR BIRD,Discon,1481963250,1481.96325,95.88077994
27,05UH001,ANGLING RIVER NEAR BIRD,Spora,19720233.11,19.72023311,1.275869244
28,05UH002,WEIR RIVER ABOVE THE MOUTH,Cont,490723829.7,490.7238297,22.35755608
29,05UH002,WEIR RIVER ABOVE THE MOUTH,Discon,1660477950,1660.47795,75.65197907
30,05UH002,WEIR RIVER ABOVE THE MOUTH,Spora,43688520.06,43.68852006,1.990464856
31,06BA002,DILLON RIVER BELOW DILLON LAKE,Isol,248655704.9,248.6557049,10.63796893
32,06BB005,CANOE RIVER NEAR BEAUVAL,Isol,1205983653,1205.983653,25.97558722
33,06BB005,CANOE RIVER NEAR BEAUVAL,Spora,53182215.61,53.18221561,1.145487566
34,06BD001,HAULTAIN RIVER ABOVE NORBERT RIVER,Isol,2778488971,2778.488971,75.78746506
35,06BD001,HAULTAIN RIVER ABOVE NORBERT RIVER,Spora,887670029,887.670029,24.21253494
36,06CD002,CHURCHILL RIVER ABOVE OTTER RAPIDS,Isol,49530402862,49530.40286,41.80783733
37,06CD002,CHURCHILL RIVER ABOVE OTTER RAPIDS,Spora,4169261339,4169.261339,3.519208199
38,06DA004,GEIKIE RIVER BELOW WHEELER RIVER,Isol,218151938.2,218.1519382,2.813579347
39,06DA004,GEIKIE RIVER BELOW WHEELER RIVER,Spora,7535385861,7535.385861,97.18642064
40,06DA005,WHEELER RIVER BELOW RUSSELL LAKE,Isol,83821829.94,83.82182994,3.05129659
41,06DA005,WHEELER RIVER BELOW RUSSELL LAKE,Spora,2663267070,2663.26707,96.94870341
42,06DC001,WATHAMAN RIVER BELOW WATHAMAN LAKE,Isol,5338032078,5338.032078,52.13043725
