station,region,name_full,name
15905100,Arctic slope,ATIGUN R BL GALBRAITH LK NR PUMP STATION 4 AK ,ATIGUN
15875000,Arctic slope,COLVILLE R AT UMIAT AK ,COLVILLE
15980000,Arctic slope,HULAHULA R NR KAKTOVIK AK ,HULAHULA
15896000,Arctic slope,KUPARUK R NR DEADHORSE AK ,KUPARUK
15803000,Arctic slope,MEADE R AT ATKASUK AK ,MEADE
15908000,Arctic slope,SAGAVANIRKTOK R NR PUMP STA 3 AK ,SAGAVANIRKTOK
15743850,Northwest,DAHL C NR KOBUK AK ,DAHL
15744500,Northwest,KOBUK R NR KIANA AK ,KOBUK
15580095,Northwest,NIUKLUK R AB MELSING C AT COUNCIL AK ,NIUKLUK
15621000,Northwest,SNAKE R NR NOME AK ,SNAKE
15747000,Northwest,WULIK R BL TUTAK C NR KIVALINA AK ,WULIK
15239900,South central,ANCHOR R NR ANCHOR POINT AK ,ANCHOR
15238986,South central,BATTLE C 1.0 MI AB MOUTH NR HOMER AK ,BATTLE
15266500,South central,BEAVER C NR KENAI AK ,BEAVER
15239001,South central,BRADLEY R BL DAM NR HOMER AK ,BRADLEY_1
15239070,South central,BRADLEY R NR TIDEWATER NR HOMER AK ,BRADLEY_2
15274600,South central,CAMPBELL C NR SPENARD AK ,CAMPBELL
15275100,South central,CHESTER C AT ARCTIC BOULEVARD AT ANCHORAGE AK ,CHESTER
15261000,South central,COOPER C AT MOUTH NR COOPER LANDING AK ,COOPER
15214000,South central,COPPER R AT MILLION DOLLAR BRIDGE NR CORDOVA AK ,COPPER_1
15214190,South central,COPPER R DI AT BRIDGE 1187 NR CORDOVA AK ,COPPER_2
15238951,South central,DIXON C AT MOUTH NR HOMER AK ,DIXON
15278000,South central,EKLUTNA LK NR PALMER AK ,EKLUTNA
15272502,South central,"GLACIER C AT ALYESKA HIGHWAY AT GIRDWOOD, AK ",GLACIER_C
15215900,South central,GLACIER R TRIB NR CORDOVA AK ,GLACIER_R
15237730,South central,GROUSE C AT GROUSE LK OUTLET NR SEWARD AK ,GROUSE
15200280,South central,GULKANA R AT SOURDOUGH AK ,GULKANA
15293200,South central,KASHWITNA R NR WILLOW AK ,KASHWITNA
15242000,South central,KASILOF R NR KASILOF AK ,KASILOF
15258000,South central,KENAI R AT COOPER LANDING AK ,KENAI_1
15266300,South central,KENAI R AT SOLDOTNA AK ,KENAI_2
15266110,South central,KENAI R BL SKILAK LK OUTLET NR STERLING AK ,KENAI_3
15281000,South central,KNIK R NR PALMER AK ,KNIK
15238500,South central,LOWELL C AT SEWARD AK ,LOWELL
15284000,South central,MATANUSKA R AT PALMER AK ,MATANUSKA
15239060,South central,MF BRADLEY R BL NF BRADLEY R NR HOMER AK ,MF_BRADLEY
15283700,South central,MOOSE C NR PALMER AK ,MOOSE
15209770,South central,NATIONAL C NR MCCARTHY AK ,NATIONAL
15280999,South central,PALMER (BODENBURG) C AT E DILLY AVE NR PALMER AK ,PALMER
15297476,South central,RED CLOUD R AT ANTON LARSEN BAY NR KODIAK AK ,RED _CLOUD_1
15297475,South central,RED CLOUD R TR NR KODIAK AK ,RED_CLOUD_2
15215920,South central,SHERIDAN R NR CORDOVA AK ,SHERIDAN
15276000,South central,SHIP C NR ANCHORAGE AK ,SHIP
15271000,South central,SIXMILE C NR HOPE AK ,SIXMILE
15243900,South central,SNOW R NR SEWARD AK ,SNOW
15225997,South central,SOLOMON GULCH AT TOP OF FALLS NR VALDEZ AK ,SOLOMON
15292000,South central,SUSITNA R AT GOLD CREEK AK ,SUSITNA
15290000,South central,L Susitna R NR Palmer AK,L_SUSITNA
15292780,South central,Susitna R at Sunshine AK,SUSITNA_2
15292700,South central,TALKEETNA R NR TALKEETNA AK ,TALKEETNA
15202000,South central,TAZLINA R NR GLENNALLEN AK ,TAZLINA
15295700,South central,TERROR R AT MOUTH NR KODIAK AK ,TERROR
15238990,South central,UPPER BRADLEY R NR NUKA GLACIER NR HOMER AK ,UPPER_BRADLEY
15238648,South central,UPPER NUKA R NR PARK BOUNDARY NR HOMER AK ,UPPER_NUKA
15227090,South central,VALDEZ GLACIER R AT VALDEZ GLACIER LK NR VALDEZ AK ,VALDEZ_GLACIER
15209700,South central,WF KENNICOTT R AT MCCARTHY AK ,WF_KENNICOTT 
