"site","seasonal","rms.signal","rms.noise","snr","sigma.hfb","start.date","end.date"
"CHENA_1",1,0.178151921948873,0.00567065169945792,68.9466526211426,0.310882951935355,"1970-01-01","1992-12-31"
"FISH_SE",1,0.0718499753814561,0.00662163499903095,47.6847590345329,0.51344513740341,"1970-01-01","1992-12-31"
"KENAI_1",1,0.185451464472418,0.00478761192243303,73.1352293695114,0.198041164603065,"1970-01-01","1992-12-31"
"KUPARUK",1,0.816302670478016,0.029162585888551,66.6379724675916,1.53381956934683,"1974-05-28","1992-12-31"
"L_CHENA",1,0.3203908551493,0.0107098024138953,67.9676447453141,0.750285233224601,"1970-01-01","1992-12-31"
"L_SUSITNA",1,0.425287446582685,0.0124927112683924,70.5523981899026,0.664764873731641,"1970-01-01","1992-12-31"
"SALCHA",1,0.228610576813335,0.00699219332368237,69.7445146165237,0.351389728104891,"1970-01-01","1992-12-31"
"SHIP",1,0.421268076912242,0.0125017468251895,70.3480202547463,0.538251532976853,"1970-01-01","1992-12-31"
"TALKEETNA",1,0.196437818959793,0.00555416872310757,71.315943423788,0.230755411475506,"1970-01-01","1992-12-31"
"TANANA_3",1,0.0978715345019065,0.00274108951113924,71.5060054625627,0.100495344066072,"1970-01-01","1992-12-31"
"YUKON_1",1,0.089074463102945,0.00251032857958552,71.3811806244904,0.0945974076776671,"1970-01-01","1992-12-31"
"YUKON_4",1,0.0894992963324062,0.00303719487134286,67.6659282660041,0.0954218113060607,"1976-10-01","1992-12-31"
"KETTLE RIVER NEAR GILLAM",1,0.331588991830259,0.0114889094241052,67.2502810688267,0.78661725128456,"1970-01-01","1992-12-31"
"DILLON RIVER BELOW DILLON LAKE",1,0.250487663059189,0.00984464647347584,64.7296373569361,0.570402517442656,"1972-08-30","1992-12-31"
"HAULTAIN RIVER ABOVE NORBERT RIVER",1,0.123757368043828,0.00466163997932625,65.5791125260926,0.220946281676399,"1972-01-01","1992-12-31"
"CHURCHILL RIVER ABOVE OTTER RAPIDS",1,0.0296174948546859,0.00141375076131313,60.842378843341,0.0672701409434541,"1970-01-01","1992-12-31"
"GEIKIE RIVER BELOW WHEELER RIVER",1,0.0516248993676728,0.00249457823141825,60.5976886518979,0.115165957255908,"1970-01-01","1992-12-31"
"WHEELER RIVER BELOW RUSSELL LAKE",1,0.0405644875198465,0.00221822982770239,58.1236697861892,0.0798052792408823,"1976-05-27","1992-12-31"
"SEAL RIVER BELOW GREAT ISLAND",1,0.0809545648654836,0.00268105798167053,68.1535316761032,0.1530261851755,"1970-01-01","1992-12-31"
"KAZAN RIVER ABOVE KAZAN FALLS",1,0.112458221038736,0.00349206590529077,69.441765462088,0.145704685131422,"1970-01-01","1992-12-31"
"WEST PRAIRIE RIVER NEAR HIGH PRAIRIE",1,0.573341981282292,0.0221475971479794,65.0750670990948,1.88319782105677,"1970-03-15","1992-12-31"
"DRIFTWOOD RIVER NEAR THE MOUTH",1,0.4528234759713,0.0159168247872005,66.9625131857542,0.910603322236448,"1970-01-01","1992-12-31"
"CLEARWATER RIVER AT DRAPER",1,0.0736882961527222,0.00265123165387293,66.4963935123326,0.169436634735801,"1970-01-01","1992-12-31"
"ATHABASCA RIVER BELOW FORT MCMURRAY",1,0.0915553319398487,0.00268840931409719,70.5598764901534,0.0995871161843069,"1970-01-01","1992-12-31"
"OMINECA RIVER ABOVE OSILINKA RIVER",1,0.184442743208904,0.00626724820448475,67.6400340991077,0.199976950878102,"1975-10-09","1992-12-31"
"MESILINKA RIVER ABOVE GOPHERHOLE CREEK",1,0.213514866004538,0.00704954009124328,68.2148816166168,0.194163982214917,"1976-01-01","1992-12-31"
"PINE RIVER AT EAST PINE",1,0.171250605004634,0.00451764393426179,72.7027481109491,0.216872612295696,"1970-01-01","1992-12-31"
