"","ecoregion1","period","pc1","pc2","pc3","permafrost_class","glacial"
"1","Marine West Coast Forest","historical",0.592985885115372,-0.72204999619446,-1.82095275906574,NA,NA
"2","Marine West Coast Forest","recent",0.312348863434544,-0.734402561827553,-1.58970732017368,NA,NA
"3","Northern Forests","historical",0.327919752229569,0.484480068183851,-0.449198923491374,NA,NA
"4","Northern Forests","recent",0.337973734133349,0.48593309992734,-0.324314764134915,NA,NA
"5","Northwestern Forested Mountains","historical",-0.475463602235019,-0.794685218533082,0.155074762923538,NA,NA
"6","Northwestern Forested Mountains","recent",-0.582059429436731,-0.691584775842177,0.158930010943895,NA,NA
"7","Taiga","historical",0.443549288453384,0.667541171652553,0.648256649103527,NA,NA
"8","Taiga","recent",-0.0795594499029082,0.764744293138761,0.315353997091879,NA,NA
"9","Tundra","historical",1.25057481167444,0.405492188472196,1.15381204611223,NA,NA
"10","Tundra","recent",0.978757657842131,0.474647118075025,1.32785259836937,NA,NA
"11",NA,"historical",0.143056001126391,0.943859109604766,0.732777577265187,"C",NA
"12",NA,"recent",-0.290795347614219,1.09482893850038,0.394956403608672,"C",NA
"13",NA,"historical",0.466458651752569,-0.388784840338185,0.358649466129436,"D",NA
"14",NA,"recent",0.106154846294564,-0.414021999282071,0.302548212742978,"D",NA
"15",NA,"historical",-0.337573780924207,-0.196951806177148,0.0741077838210294,"S",NA
"16",NA,"recent",-0.474627259436619,-0.0931020850601178,0.0264652479819438,"S",NA
"17",NA,"historical",0.251784213684552,-0.31683181535999,-0.624225489859576,"Unfrozen",NA
"18",NA,"recent",0.211765747434181,-0.288990617495564,-0.450248209965875,"Unfrozen",NA
"19",NA,"historical",-0.196938426838092,-1.09707761728145,-0.182379541582287,NA,"glacial"
"20",NA,"recent",-0.301227883914085,-1.01897131563999,-0.412231734963637,NA,"glacial"
"21",NA,"historical",0.143792371477765,0.119148184254026,0.0446570088365524,NA,"non-glacial"
"22",NA,"recent",-0.0726257556560255,0.183144520449037,0.0402874592414371,NA,"non-glacial"
