"ecoregion1","Brown","Obu","n"
"Marine West Coast Forest","Sporadic/Isolated","Sporadic/Isolated",1
"Marine West Coast Forest","Sporadic/Isolated","Unfrozen",4
"Marine West Coast Forest","Unfrozen","Sporadic/Isolated",2
"Marine West Coast Forest","Unfrozen","Unfrozen",1
"Northern Forests","Sporadic/Isolated","Discontinuous",3
"Northern Forests","Sporadic/Isolated","Sporadic/Isolated",14
"Northern Forests","Unfrozen","Sporadic/Isolated",1
"Northern Forests","Unfrozen","Unfrozen",16
"Northwestern Forested Mountains","Discontinuous","Continuous",2
"Northwestern Forested Mountains","Discontinuous","Discontinuous",9
"Northwestern Forested Mountains","Discontinuous","Sporadic/Isolated",15
"Northwestern Forested Mountains","Sporadic/Isolated","Discontinuous",2
"Northwestern Forested Mountains","Sporadic/Isolated","Sporadic/Isolated",8
"Northwestern Forested Mountains","Sporadic/Isolated","Unfrozen",22
"Northwestern Forested Mountains","Unfrozen","Sporadic/Isolated",1
"Taiga","Continuous","Continuous",7
"Taiga","Discontinuous","Continuous",10
"Taiga","Discontinuous","Discontinuous",5
"Taiga","Discontinuous","Sporadic/Isolated",1
"Taiga","Sporadic/Isolated","Discontinuous",5
"Taiga","Sporadic/Isolated","Sporadic/Isolated",7
"Taiga","Sporadic/Isolated","Unfrozen",2
"Tundra","Continuous","Continuous",5
"Tundra","Continuous","Discontinuous",1
"Tundra","Discontinuous","Continuous",1
