"site","date","year","jday","timing","resid.sig","peak"
"CHENA_1",1970-07-02,1970,183,-60,0.247933020413191,243
"CHENA_1",1971-05-15,1971,135,-108,0.548511681891015,243
"CHENA_1",1972-05-11,1972,132,-111,0.650755617239548,243
"CHENA_1",1973-05-07,1973,127,-116,0.396560227865864,243
"CHENA_1",1974-05-01,1974,121,-122,0.305542670708842,243
"CHENA_1",1975-05-14,1975,134,-109,0.605769308861944,243
"CHENA_1",1976-05-03,1976,124,-119,0.594332249237043,243
"CHENA_1",1977-05-08,1977,128,-115,0.415766319596198,243
"CHENA_1",1978-04-30,1978,120,-123,0.216631220209095,243
"CHENA_1",1979-05-03,1979,123,-120,0.70921014696714,243
"CHENA_1",1980-07-02,1980,184,-59,0.306179731130747,243
"CHENA_1",1981-07-15,1981,196,-47,0.445671278584022,243
"CHENA_1",1982-06-22,1982,173,-70,0.396376233807753,243
"CHENA_1",1983-04-29,1983,119,-124,0.486285215577521,243
"CHENA_1",1984-07-24,1984,206,-37,0.534799421661764,243
"CHENA_1",1985-05-19,1985,139,-104,0.4010742086749,243
"CHENA_1",1986-10-13,1986,286,43,0.557524669623232,243
"CHENA_1",1987-08-22,1987,234,-9,0.174184549046193,243
"CHENA_1",1988-06-18,1988,170,-73,0.346920046706013,243
"CHENA_1",1989-05-04,1989,124,-119,0.565481700963207,243
"CHENA_1",1990-09-09,1990,252,9,0.421893667999276,243
"CHENA_1",1991-05-07,1991,127,-116,0.648830561620931,243
"CHENA_1",1992-05-27,1992,148,-95,0.405453504106986,243
"FISH_SE",1970-08-15,1970,227,84,0.826131860373438,143
"FISH_SE",1971-08-25,1971,237,94,0.825841272582297,143
"FISH_SE",1972-08-06,1972,219,76,0.906200324064454,143
"FISH_SE",1973-10-29,1973,302,159,0.66968498506272,143
"FISH_SE",1974-10-08,1974,281,138,0.979069302276329,143
"FISH_SE",1975-09-05,1975,248,105,0.620280743098135,143
"FISH_SE",1976-08-11,1976,224,81,0.769502672587098,143
"FISH_SE",1977-10-12,1977,285,142,0.799027049462797,143
"FISH_SE",1978-10-31,1978,304,161,0.850116843980419,143
"FISH_SE",1979-03-07,1979,66,-77,0.756646277991757,143
"FISH_SE",1980-10-07,1980,281,138,0.921865233612651,143
"FISH_SE",1981-09-09,1981,252,109,0.860086322660301,143
"FISH_SE",1982-10-10,1982,283,140,0.927148389429822,143
"FISH_SE",1983-08-27,1983,239,96,0.819762579719571,143
"FISH_SE",1984-09-18,1984,262,119,0.559713054298469,143
"FISH_SE",1985-04-13,1985,103,-40,0.600662425445574,143
"FISH_SE",1986-10-15,1986,288,145,0.665821417213917,143
"FISH_SE",1987-09-30,1987,273,130,0.759863803894495,143
"FISH_SE",1988-07-26,1988,208,65,0.831270107576556,143
"FISH_SE",1989-05-09,1989,129,-14,0.408192290590136,143
"FISH_SE",1990-10-24,1990,297,154,0.694523395029747,143
"FISH_SE",1991-10-14,1991,287,144,0.704186463438114,143
"FISH_SE",1992-09-29,1992,273,130,0.849765135694796,143
"KENAI_1",1970-09-23,1970,266,80,0.26887676923867,186
"KENAI_1",1971-08-13,1971,225,39,0.111116210460889,186
"KENAI_1",1972-09-05,1972,249,63,0.120808539785902,186
"KENAI_1",1973-05-20,1973,140,-46,0.092741450673602,186
"KENAI_1",1974-09-21,1974,264,78,0.408377177092679,186
"KENAI_1",1975-05-18,1975,138,-48,0.21346910976149,186
