"site","date","year","jday","timing","resid.sig","peak"
"ANTLER",2000-10-13,2000,287,112,0.798949573585779,175
"ANTLER",2001-09-14,2001,257,82,0.908421820941812,175
"ANTLER",2002-10-21,2002,294,119,1.21913875843845,175
"ANTLER",2003-08-17,2003,229,54,0.590575018622037,175
"ANTLER",2004-09-24,2004,268,93,0.920478795171964,175
"ANTLER",2005-03-11,2005,70,-105,0.953109388351338,175
"ANTLER",2006-09-02,2006,245,70,0.944887549373039,175
"ANTLER",2007-07-13,2007,194,19,0.679163052017194,175
"ANTLER",2008-10-03,2008,277,102,0.690516549297717,175
"ANTLER",2009-08-18,2009,230,55,0.711741566563709,175
"ANTLER",2010-05-29,2010,149,-26,0.541395141738019,175
"ANTLER",2011-08-21,2011,233,58,0.980814197415129,175
"ANTLER",2012-06-25,2012,177,2,0.648744781851702,175
"ANTLER",2013-09-08,2013,251,76,0.853232415249886,175
"ANTLER",2014-10-11,2014,284,109,0.976040154201464,175
"ANTLER",2015-10-18,2015,291,116,0.682528792696794,175
"ANTLER",2016-05-03,2016,124,-51,0.900827538585962,175
"ANTLER",2017-05-22,2017,142,-33,0.879384174741458,175
"ANTLER",2018-08-09,2018,221,46,1.01773896642709,175
"ANTLER",2019-03-23,2019,82,-93,0.94695723504849,175
"ANTLER",2020-08-10,2020,223,48,0.667018382659324,175
"ANTLER",2021-08-13,2021,225,50,1.11850952042382,175
"ANTLER",2022-10-01,2022,274,99,1.29964720428102,175
"BRADLEY_2",2000-10-25,2000,299,140,0.531297169183191,159
"BRADLEY_2",2001-07-19,2001,200,41,0.643889736552525,159
"BRADLEY_2",2002-10-23,2002,296,137,2.0126235764817,159
"BRADLEY_2",2003-10-08,2003,281,122,1.01383602973886,159
"BRADLEY_2",2004-10-04,2004,278,119,0.924169200504894,159
"BRADLEY_2",2005-04-22,2005,112,-47,1.05488165394966,159
"BRADLEY_2",2006-10-09,2006,282,123,1.46343946755633,159
"BRADLEY_2",2007-06-05,2007,156,-3,0.324442595675184,159
"BRADLEY_2",2008-10-10,2008,284,125,0.980788082984449,159
"BRADLEY_2",2009-10-24,2009,297,138,0.459944460333487,159
"BRADLEY_2",2010-10-03,2010,276,117,0.914705519240614,159
"BRADLEY_2",2011-10-25,2011,298,139,1.37544036542881,159
"BRADLEY_2",2012-09-26,2012,270,111,1.69629597102156,159
"BRADLEY_2",2013-09-16,2013,259,100,1.43660769244783,159
"BRADLEY_2",2014-09-19,2014,262,103,1.70738111641335,159
"BRADLEY_2",2015-04-07,2015,97,-62,0.939098372241036,159
"BRADLEY_2",2016-04-10,2016,101,-58,0.953398077729477,159
"BRADLEY_2",2017-10-26,2017,299,140,0.718439111585334,159
"BRADLEY_2",2018-10-13,2018,286,127,1.11342088730416,159
"BRADLEY_2",2019-09-13,2019,256,97,1.58567776150598,159
"BRADLEY_2",2020-10-02,2020,276,117,1.37862141239428,159
"BRADLEY_2",2021-10-30,2021,303,144,1.37726849972869,159
"BRADLEY_2",2022-05-22,2022,142,-17,0.360035026058973,159
"CHENA_1",2000-08-16,2000,229,-14,0.448643730067413,243
"CHENA_1",2001-07-31,2001,212,-31,0.304798903887808,243
"CHENA_1",2002-07-08,2002,189,-54,0.514006402119172,243
"CHENA_1",2003-07-30,2003,211,-32,0.556757267085784,243
"CHENA_1",2004-05-09,2004,130,-113,0.423866308833881,243
"CHENA_1",2005-04-30,2005,120,-123,0.531484292129184,243
"CHENA_1",2006-05-17,2006,137,-106,0.300432415793452,243
"CHENA_1",2007-08-09,2007,221,-22,0.252298937521167,243
"CHENA_1",2008-08-02,2008,215,-28,0.466730348300435,243
"CHENA_1",2009-05-04,2009,124,-119,0.572507798963156,243
"CHENA_1",2010-05-03,2010,123,-120,0.291281660198895,243
"CHENA_1",2011-07-06,2011,187,-56,0.444275470841959,243
"CHENA_1",2012-04-25,2012,116,-127,0.384161339935415,243
"CHENA_1",2013-05-27,2013,147,-96,0.331341089837198,243
"CHENA_1",2014-07-05,2014,186,-57,0.513634372931834,243
"CHENA_1",2015-08-30,2015,242,-1,0.329425979207393,243
"CHENA_1",2016-07-23,2016,205,-38,0.439897515411887,243
"CHENA_1",2017-05-12,2017,132,-111,0.266315031215028,243
"CHENA_1",2018-05-12,2018,132,-111,0.340906839624022,243
"CHENA_1",2019-08-19,2019,231,-12,0.317714420816791,243
"CHENA_1",2020-05-12,2020,133,-110,0.397182237603157,243
"CHENA_1",2021-04-29,2021,119,-124,0.346065196400696,243
"CHENA_1",2022-05-06,2022,126,-117,0.382231968622802,243
"COLVILLE",2002-10-03,2002,276,101,0.484646555846296,175
"COLVILLE",2003-10-04,2003,277,102,0.959430235600963,175
"COLVILLE",2004-05-24,2004,145,-30,1.51004193359976,175
"COLVILLE",2005-05-31,2005,151,-24,0.945127226920636,175
"COLVILLE",2006-05-28,2006,148,-27,1.15935088744986,175
"COLVILLE",2007-06-04,2007,155,-20,0.93767076977582,175
"COLVILLE",2008-05-28,2008,149,-26,1.03451079717894,175
"COLVILLE",2009-05-23,2009,143,-32,1.44745416572347,175
"COLVILLE",2010-06-01,2010,152,-23,1.09873311974873,175
"COLVILLE",2011-05-27,2011,147,-28,1.29907086515926,175
"COLVILLE",2012-05-25,2012,146,-29,1.14435533033395,175
"COLVILLE",2013-06-04,2013,155,-20,1.04041086656753,175
"COLVILLE",2014-05-18,2014,138,-37,1.76492306610862,175
"COLVILLE",2015-05-20,2015,140,-35,1.77752061469372,175
"COLVILLE",2016-05-15,2016,136,-39,1.58901821704263,175
"COLVILLE",2017-05-28,2017,148,-27,0.835027073238511,175
"COLVILLE",2018-05-31,2018,151,-24,0.907909319775578,175
"COLVILLE",2019-05-24,2019,144,-31,1.33021812338578,175
"COLVILLE",2020-05-26,2020,147,-28,1.1742820973424,175
"COLVILLE",2021-06-06,2021,157,-18,0.629245419292368,175
"COLVILLE",2022-05-30,2022,150,-25,1.00171817137573,175
"COOPER",2000-06-07,2000,159,-7,0.552061908566748,166
"COOPER",2001-08-29,2001,241,75,1.34023800039659,166
"COOPER",2002-10-23,2002,296,130,3.18648004913755,166
"COOPER",2003-10-03,2003,276,110,0.943568164150731,166
"COOPER",2004-10-03,2004,277,111,1.49396568617585,166
"COOPER",2005-04-29,2005,119,-47,1.33115166746723,166
"COOPER",2006-10-10,2006,283,117,1.66561248736212,166
"COOPER",2007-06-05,2007,156,-10,0.404615404236111,166
"COOPER",2008-10-10,2008,284,118,1.4284077321833,166
"COOPER",2009-05-05,2009,125,-41,0.483491956434355,166
"COOPER",2010-10-02,2010,275,109,1.98547201911991,166
"COOPER",2011-10-02,2011,275,109,0.967435420493884,166
"COOPER",2012-09-23,2012,267,101,2.22824169259523,166
"COOPER",2013-09-11,2013,254,88,1.57142442962947,166
"COOPER",2014-09-20,2014,263,97,1.32106428541063,166
"COOPER",2015-04-19,2015,109,-57,0.891098864672737,166
"COOPER",2016-04-01,2016,92,-74,1.16435057985411,166
"COOPER",2017-10-30,2017,303,137,0.854952260151124,166
