"station","year","month","variable","value"
"03NE002",1999,1,"snowfall",NA
"03NE002",1999,2,"snowfall",NA
"03NE002",1999,3,"snowfall",NA
"03NE002",1999,4,"snowfall",NA
"03NE002",1999,5,"snowfall",NA
"03NE002",1999,6,"snowfall",NA
"03NE002",1999,7,"snowfall",NA
"03NE002",1999,8,"snowfall",NA
"03NE002",1999,9,"snowfall",NA
"03NE002",1999,10,"snowfall",NA
"03NE002",1999,11,"snowfall",NA
"03NE002",1999,12,"snowfall",NA
"03NE002",2000,1,"snowfall",NA
"03NE002",2000,2,"snowfall",NA
"03NE002",2000,3,"snowfall",NA
"03NE002",2000,4,"snowfall",NA
"03NE002",2000,5,"snowfall",NA
"03NE002",2000,6,"snowfall",NA
"03NE002",2000,7,"snowfall",NA
"03NE002",2000,8,"snowfall",NA
"03NE002",2000,9,"snowfall",NA
"03NE002",2000,10,"snowfall",NA
"03NE002",2000,11,"snowfall",NA
"03NE002",2000,12,"snowfall",NA
"03NE002",2001,1,"snowfall",NA
"03NE002",2001,2,"snowfall",NA
"03NE002",2001,3,"snowfall",NA
"03NE002",2001,4,"snowfall",NA
"03NE002",2001,5,"snowfall",NA
"03NE002",2001,6,"snowfall",NA
"03NE002",2001,7,"snowfall",NA
"03NE002",2001,8,"snowfall",NA
"03NE002",2001,9,"snowfall",NA
"03NE002",2001,10,"snowfall",NA
"03NE002",2001,11,"snowfall",NA
"03NE002",2001,12,"snowfall",NA
"03NE002",2002,1,"snowfall",NA
"03NE002",2002,2,"snowfall",NA
"03NE002",2002,3,"snowfall",NA
"03NE002",2002,4,"snowfall",NA
"03NE002",2002,5,"snowfall",NA
"03NE002",2002,6,"snowfall",NA
"03NE002",2002,7,"snowfall",NA
"03NE002",2002,8,"snowfall",NA
"03NE002",2002,9,"snowfall",NA
"03NE002",2002,10,"snowfall",NA
"03NE002",2002,11,"snowfall",NA
"03NE002",2002,12,"snowfall",NA
"03NE002",2003,1,"snowfall",NA
"03NE002",2003,2,"snowfall",NA
"03NE002",2003,3,"snowfall",NA
"03NE002",2003,4,"snowfall",NA
"03NE002",2003,5,"snowfall",NA
"03NE002",2003,6,"snowfall",NA
"03NE002",2003,7,"snowfall",NA
"03NE002",2003,8,"snowfall",NA
"03NE002",2003,9,"snowfall",NA
"03NE002",2003,10,"snowfall",NA
"03NE002",2003,11,"snowfall",NA
"03NE002",2003,12,"snowfall",NA
"03NE002",2004,1,"snowfall",NA
"03NE002",2004,2,"snowfall",NA
"03NE002",2004,3,"snowfall",NA
"03NE002",2004,4,"snowfall",NA
"03NE002",2004,5,"snowfall",NA
"03NE002",2004,6,"snowfall",NA
"03NE002",2004,7,"snowfall",NA
"03NE002",2004,8,"snowfall",NA
"03NE002",2004,9,"snowfall",NA
"03NE002",2004,10,"snowfall",NA
"03NE002",2004,11,"snowfall",NA
"03NE002",2004,12,"snowfall",NA
"03NE002",2005,1,"snowfall",NA
"03NE002",2005,2,"snowfall",NA
"03NE002",2005,3,"snowfall",NA
"03NE002",2005,4,"snowfall",NA
"03NE002",2005,5,"snowfall",NA
"03NE002",2005,6,"snowfall",NA
"03NE002",2005,7,"snowfall",NA
"03NE002",2005,8,"snowfall",NA
"03NE002",2005,9,"snowfall",NA
"03NE002",2005,10,"snowfall",NA
"03NE002",2005,11,"snowfall",NA
"03NE002",2005,12,"snowfall",NA
"03NE002",2006,1,"snowfall",NA
"03NE002",2006,2,"snowfall",NA
"03NE002",2006,3,"snowfall",NA
"03NE002",2006,4,"snowfall",NA
"03NE002",2006,5,"snowfall",NA
"03NE002",2006,6,"snowfall",NA
"03NE002",2006,7,"snowfall",NA
"03NE002",2006,8,"snowfall",NA
"03NE002",2006,9,"snowfall",NA
"03NE002",2006,10,"snowfall",NA
"03NE002",2006,11,"snowfall",NA
"03NE002",2006,12,"snowfall",NA
"03NE002",2007,1,"snowfall",NA
"03NE002",2007,2,"snowfall",NA
"03NE002",2007,3,"snowfall",NA
"03NE002",2007,4,"snowfall",NA
"03NE002",2007,5,"snowfall",NA
"03NE002",2007,6,"snowfall",NA
"03NE002",2007,7,"snowfall",NA
"03NE002",2007,8,"snowfall",NA
